Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ]
0.0,0.042281287675248025,1.0,0.17359532733995878,0.00013684302594586199,1.0438232375579353,0.0050000000721957165
0.0005,0.04227128767524802,1.0,0.1446337600130846,0.018463388837810697,1.0444058259820754,0.005474812879411169
0.001,0.042261287675248026,1.0,0.12650791351778942,0.03645493756806268,1.0445564847746438,0.009175693389651457
0.0015,0.04225128767524802,1.0,0.11375678433190017,0.05411673664733711,1.0444775054496558,0.019624499803178697
0.002,0.042241287675248027,1.0,0.10684205191678586,0.07145479246001381,1.044103886147205,0.03980347161825884
0.0025,0.04223128767524802,1.0,0.1106646023995297,0.08847496127328372,1.0431325690288307,0.07140465054565585
0.003,0.04222128767524803,1.0,0.1351593454637498,0.10518314674313738,1.0410850914351013,0.11420321516956346
0.0035,0.042211287675248024,1.0,0.19283673851495342,0.12158510191789308,1.037691034790775,0.16605801585983437
0.004,0.04220128767524803,1.0,0.2860675905044297,0.1376863995667201,1.0334034373304946,0.2239793915644545
0.0045000000000000005,0.042191287675248025,1.0,0.40565645632803865,0.15349253700698312,1.028882116106376,0.2850496362595619
0.005,0.04218128767524802,1.0,0.5427545902587949,0.16900895511465416,1.024443831410858,0.34660497899613135
0.0055,0.042171287675248026,1.0,0.6924813234352015,0.1842409583147877,1.0201667530956795,0.40642897570189257
0.006,0.04216128767524802,1.0,0.8518610729317014,0.1991937597182973,1.0160603195509454,0.4629306624685202
0.006500000000000001,0.04215128767524803,1.0,1.0186251222288365,0.21387247012183458,1.0121199183214888,0.5151467052219489
0.007,0.042141287675248024,1.0,1.190799773716878,0.22828212174872073,1.0083395046847168,0.5626345351335258
0.0075,0.04213128767524803,1.0,1.366656511511044,0.24242764667504152,1.0047126888579707,0.6053299473043011
0.008,0.042121287675248024,1.0,1.5446726171407037,0.25631388538386446,1.0012332157485622,0.6434159130378735
0.0085,0.04211128767524802,1.0,1.723534840614411,0.2699455845947182,0.9978946789901774,0.677217959367173
0.009000000000000001,0.042101287675248025,1.0,1.9021306383523326,0.28332730861457334,0.9946904971078341,0.7071293137390341
0.0095,0.04209128767524802,1.0,2.0795223170143746,0.2964636483510813,0.9916141163858717,0.7335624197061258
0.01,0.042081287675248026,1.0,2.2549326825397213,0.3093592414906632,0.9886590258143378,0.756918852762833
0.0105,0.04207128767524802,1.0,2.427731973882762,0.322018581903498,0.9858187619509952,0.7775723376232642
0.011,0.04206128767524803,1.0,2.597418292090974,0.3344457574933017,0.9830869956284048,0.7958607706635856
0.0115,0.042051287675248024,1.0,2.7636244518989055,0.3466450976603454,0.9804573178033148,0.8120849750574669
0.012,0.04204128767524803,1.0,2.926101154719018,0.3586209484623558,0.9779233265070366,0.8265091760694103
0.0125,0.042031287675248025,1.0,3.0845990607522857,0.37037728736589076,0.9754797661701484,0.839363803629104
0.013000000000000001,0.04202128767524802,1.0,3.238939747288548,0.3819180301640642,0.9731215730411477,0.8508486307424489
0.0135,0.042011287675248025,1.0,3.3890745075715105,0.3932472490930357,0.9708431967963942,0.8611361787518346
0.014,0.04200128767524802,1.0,3.535002845302652,0.4043689449735117,0.9686393901188556,0.870375366794538
0.0145,0.041991287675248026,1.0,3.676628586906136,0.41528674229946694,0.9665065023975516,0.8786950459747915
0.015,0.04198128767524802,1.0,3.8139712899920353,0.42600440626660246,0.9644402860421244,0.8862062043346095
0.0155,0.04197128767524803,1.0,3.94709376629051,0.43652567472118947,0.9624365854689352,0.893004690368631
0.016,0.041961287675248024,1.0,4.075999697721476,0.44685403049736466,0.9604922280243322,0.8991736042128113
0.0165,0.04195128767524803,1.0,4.2007778501603,0.4569930657349759,0.9586036197419242,0.9047848292267451
0.017,0.041941287675248025,1.0,4.321532444015454,0.46694631438718576,0.956767368680946,0.9099007891762
0.0175,0.04193128767524802,1.0,4.438301505264781,0.476717063861908,0.9549809612065064,0.9145759465548751
0.018000000000000002,0.041921287675248026,1.0,4.5511985240269075,0.4863087202416186,0.9532414609111586,0.918857695335274
0.0185,0.04191128767524802,1.0,4.660338504007254,0.49572461584270405,0.9515461498093738,0.9227874778363155
0.019,0.041901287675248026,1.0,4.765781107836568,0.5049678633854544,0.9498929798204566,0.926401694094683
0.0195,0.04189128767524802,1.0,4.867647692915739,0.5140416928749028,0.9482795450722141,0.9297322454551994
0.02,0.04188128767524803,1.0,4.966062816563093,0.5229492758775357,0.9467035734694865,0.9328072185697391
0.0205,0.041871287675248024,1.0,5.061117651921904,0.5316936149955415,0.9451632090576255,0.9356514368886949
0.021,0.04186128767524803,1.0,5.152908279181612,0.5402776967047228,0.9436566724969133,0.9382868637575744
0.021500000000000002,0.041851287675248025,1.0,5.2415119025745796,0.5487044166052463,0.9421824417343242,0.9407329973704178
0.022,0.04184128767524802,1.0,5.327019912315686,0.5569766460823916,0.9407389706122984,0.9430071442231905
0.0225,0.041831287675248026,1.0,5.409558747669489,0.5650972733431859,0.9393245187930064,0.9451246726649732
0.023,0.04182128767524802,1.0,5.489214501167606,0.5730690598321189,0.9379377468413281,0.9470993478409016
0.0235,0.04181128767524803,1.0,5.566062113261994,0.5808946999985128,0.9365774685198529,0.9489434928086601
0.024,0.041801287675248024,1.0,5.640191219643024,0.5885768695610007,0.9352424409246534,0.9506681332358384
0.0245,0.04179128767524803,1.0,5.711708186501264,0.5961182295082617,0.9339313470754772,0.9522831507319844
0.025,0.041781287675248024,1.0,5.780697816889276,0.6035213588956025,0.9326430883615234,0.9537974589399298
0.025500000000000002,0.04177128767524803,1.0,5.847239873592183,0.6107887860153943,0.9313766488758293,0.9552190973347414
0.026000000000000002,0.041761287675248025,1.0,5.9114165887115355,0.6179230005436851,0.9301310334812591,0.956555322508697
0.0265,0.04175128767524802,1.0,5.9733097949203495,0.6249264498734002,0.9289052865122792,0.9578126989419246
0.027,0.041741287675248026,1.0,6.0329930379575565,0.6318015281345217,0.9276985477753595,0.9589971832223676
0.0275,0.04173128767524802,1.0,6.090535095017666,0.6385505821913608,0.9265100219637662,0.9601141863721123
0.028,0.04172128767524803,1.0,6.146009101900154,0.645175925623167,0.9253389075561572,0.9611686234270416
0.0285,0.041711287675248024,1.0,6.199486890547163,0.651679830755661,0.9241844373419403,0.9621649710177068
0.029,0.04170128767524803,1.0,6.251033274908933,0.6580645208048748,0.9230459183754748,0.9631073179484418
0.029500000000000002,0.041691287675248025,1.0,6.300709434007086,0.6643321755112732,0.9219227043095501,0.9639994017486784
0.03,0.04168128767524802,1.0,6.348580517752541,0.670484948220948,0.9208141376909247,0.9648446383908493
0.0305,0.041671287675248025,1.0,6.394707881422875,0.6765249492128006,0.9197196057465616,0.9656461597915796
0.031,0.04166128767524802,1.0,6.439147810593392,0.6824542431008773,0.9186385478704847,0.966406842388935
0.0315,0.041651287675248026,1.0,6.481954618773646,0.6882748555619443,0.9175704314303353,0.9671293295130593
0.032,0.04164128767524802,1.0,6.5231812051752565,0.6939887744526835,0.9165147465124903,0.9678160530673275
0.0325,0.04163128767524803,1.0,6.562879637699748,0.6995979509268868,0.9154710006671777,0.9684692528607198
0.033,0.041621287675248024,1.0,6.601101504366177,0.7051043006124553,0.9144387154778397,0.9690909941201316
0.0335,0.04161128767524803,1.0,6.637889894917442,0.7105097067559192,0.9134174831471451,0.9696831911527152
0.034,0.041601287675248025,1.0,6.673288248808526,0.7158160193922394,0.9124069018394312,0.9702476126255779
0.0345,0.04159128767524802,1.0,6.707343105721044,0.7210250559746164,0.9114065555587537,0.9707858920794572
0.035,0.041581287675248026,1.0,6.74010167610545,0.7261386032208942,0.910416031137583,0.9712995420629164
0.035500000000000004,0.04157128767524802,1.0,6.771612387808588,0.7311584182607173,0.9094349138958662,0.9717899641867985
0.036000000000000004,0.041561287675248026,1.0,6.801925444025295,0.7360862297826875,0.9084627833000924,0.9722584581788213
0.0365,0.04155128767524802,1.0,6.831092668777958,0.740923738368485,0.9074992137201695,0.9727062305480922
0.037,0.04154128767524803,1.0,6.859139636659106,0.7456725857056331,0.9065439703205346,0.9731344213056654
0.0375,0.041531287675248024,1.0,6.886092343611285,0.7503343852884651,0.9055968194136718,0.9735440915689085
0.038,0.04152128767524803,1.0,6.91198598128195,0.7549107327211257,0.9046574667110602,0.9739362241616497
0.0385,0.041511287675248025,1.0,6.936854831330642,0.7594031948326843,0.9037256284244347,0.9743117364248661
0.039,0.04150128767524802,1.0,6.960732412396282,0.7638133103470676,0.9028010299170869,0.9746714852940995
0.0395,0.041491287675248026,1.0,6.9836516318506945,0.768142590552994,0.9018834043551667,0.9750162719155022
0.04,0.04148128767524802,1.0,7.005644839554393,0.7723925198275192,0.9009724920720621,0.9753468459077257
0.0405,0.04147128767524803,1.0,7.0267392665757615,0.7765645495648569,0.9000680720563733,0.9756639119478198
0.041,0.041461287675248024,1.0,7.046961357074594,0.7806601048394255,0.899169931410128,0.9759681306798924
0.0415,0.04145128767524803,1.0,7.0663385216924075,0.7846805873367236,0.898277852986793,0.976260120988813
0.042,0.041441287675248024,1.0,7.084897444911721,0.788627373360968,0.897391627010903,0.9765404640098003
