Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ],fisomrel [ ],fce [N]
0.0,0.022520111312323083,1.0,1.887341966803754,0.06602810186302077,1.321378159698952,0.09136143308937957,0.5868643138740597,1.5456457168148323
0.0005,0.022501488751867856,1.0,1.1365975172723795,0.0740890790911574,1.322023394248963,0.1255077434744975,0.5852037342255079,0.79317912390982
0.001,0.022482866191412633,1.0,0.988657421433694,0.08208048318506309,1.321201259450331,0.16426864260540466,0.5873190037100844,0.6474325654915946
0.0015,0.022464243630957406,1.0,1.0590314067401694,0.09000291461493654,1.3197161368441852,0.20671241021362893,0.591126367365721,0.7217511913192278
0.002,0.022445621070502183,1.0,1.2161993552421542,0.09785696868146905,1.3179887759158053,0.25178676856838716,0.595532553566271,0.8834783413188545
0.0025,0.022426998510046956,1.0,1.4027261297980578,0.10564323553497257,1.316212699986107,0.29837792138812114,0.600038113469985,1.0746605464587713
0.003,0.02240837594959173,1.0,1.5988629195472386,0.11336230021356768,1.314445699741037,0.345379925853002,0.6044956076574785,1.2753964294369637
0.0035,0.022389753389136506,1.0,1.798083100817485,0.12101474281322236,1.312701276391656,0.39180203202428504,0.6088716469721169,1.4791250961516123
0.004,0.02237113082868128,1.0,1.997652971427316,0.12860113819409286,1.3109817810888402,0.4368325144691022,0.6131613273232506,1.6831080597365404
0.0045000000000000005,0.022352508268226056,1.0,2.1956701957932587,0.13612205666641014,1.309287549978808,0.4798604629902356,0.6173648457124256,1.8854434678758643
0.005,0.02233388570777083,1.0,2.3905497197053,0.1435780579949701,1.307618418801298,0.520468274536338,0.6214836336567569,2.0845480159026524
0.0055,0.022315263147315606,1.0,2.5805766662234673,0.15096971318500804,1.3059746909322372,0.5584089528795273,0.6255179540356878,2.278707373616263
0.006,0.02229664058686038,1.0,2.7645257710628037,0.15829757697383856,1.3043558955451358,0.593573604455659,0.6294699553876737,2.4666987509786504
0.006500000000000001,0.022278018026405152,1.0,2.941542046722367,0.16556219296201383,1.302761129128126,0.6259597395642486,0.6333427947562488,2.647670653036729
0.007,0.02225939546594993,1.0,3.1109232166192298,0.17276410475008586,1.3011894881693407,0.655642254884935,0.6371395688651624,2.8209242173564135
0.0075,0.022240772905494702,1.0,3.272108704701793,0.1799038559386068,1.2996400691569123,0.6827483065909583,0.6408633158225632,2.9859022058508975
0.008,0.02222215034503948,1.0,3.4247383956801087,0.18698198459667492,1.298111852025932,0.7074370749591864,0.6445172947266752,3.1422480496361693
0.0085,0.022203527784584252,1.0,3.56886277185048,0.1939990282976452,1.2966033493080564,0.7298842013452346,0.6481058127169723,3.290016823633604
0.009000000000000001,0.022184905224129026,1.0,3.7045926788846915,0.20095550960024358,1.2951131975917747,0.750271196106948,0.6516328024286326,3.429323563245169
0.0095,0.022166282663673802,1.0,3.832142963450532,0.20785194777209065,1.29364005459878,0.7687776495412506,0.6551020733409019,3.5603871590853506
0.01,0.022147660103218576,1.0,3.951832498233122,0.2146888620808071,1.2921825780507654,0.7855761335030805,0.6585173643344335,3.6835304360273478
0.0105,0.022129037542763352,1.0,4.06402744377258,0.2214667659554776,1.2907394957192746,0.8008291275432902,0.6618821825156076,3.7991232529076173
0.011,0.022110414982308126,1.0,4.169221566629363,0.2281861767571598,1.289309462787133,0.8146872614663968,0.6652001389672818,3.907663160656787
0.0115,0.0220917924218529,1.0,4.267790212155749,0.234847594160474,1.2878914228511098,0.827288835198547,0.6684741145950539,4.0095285349242715
0.012,0.022073169861397676,1.0,4.360136437019008,0.24145151498159098,1.28648436204777,0.8387596655734967,0.6717068412083291,4.10512529764576
0.0125,0.02205454730094245,1.0,4.4467121794966635,0.2479984360366816,1.2850872665136788,0.8492135000901804,0.6749010018870347,4.194908189032361
0.013000000000000001,0.022035924740487225,1.0,4.527980751827714,0.25448885122619463,1.28369916918735,0.8587527366789341,0.6780591256096293,4.2793431546035
0.0135,0.022017302180032,1.0,4.6043750062363955,0.26092325206099154,1.2823192013103346,0.8674692849469043,0.681183474285979,4.358865399197173
0.014,0.021998679619576775,1.0,4.676244336798552,0.267302119000016,1.2809466587314373,0.8754454724414206,0.6842758997905651,4.433826247837832
0.0145,0.02198005705912155,1.0,4.743929058629765,0.27362592877852193,1.2795808848532602,0.8827548875497389,0.6873381152986724,4.504567798463406
0.015,0.021961434498666322,1.0,4.807788361609506,0.27989515788343783,1.2782212257434011,0.8894632324747429,0.6903717981833577,4.5714509790441555
0.0155,0.0219428119382111,1.0,4.868155568818412,0.2861102792053066,1.2768670900407388,0.8956291649854857,0.6933784578094937,4.634810674682835
0.016,0.021924189377755872,1.0,4.925312278009857,0.2922717595730292,1.2755179806292882,0.9013050618517598,0.6963593693998367,4.694929804540614
0.0165,0.02190556681730065,1.0,4.979511478802672,0.29838005997057093,1.2741734576133807,0.9065376907363464,0.6993156605612949,4.752062526462826
0.017,0.021886944256845422,1.0,5.030957595776415,0.30443562539681074,1.2728331628194838,0.9113688331342982,0.7022482610636682,4.80641423136266
0.0175,0.021868321696390195,1.0,5.079981179004389,0.31043893749715556,1.271496575384448,0.9158358031888053,0.7051584382180669,4.858316764386222
0.018000000000000002,0.021849699135934972,1.0,5.126780863394939,0.31639044982736625,1.2701633689006788,0.9199720195395977,0.7080470164169429,4.907969611286504
0.0185,0.021831076575479745,1.0,5.171493611452527,0.32229059864478954,1.2688333098439701,0.923807419868801,0.7109146060733438,4.955510370083747
