Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ],fisomrel [ ],fce [N]
0.0,0.02352011131232308,1.0,5.054977198589381,0.15204602789955607,1.3840691368692604,0.6454130770170452,0.4099635924180054,4.5257353554351685
0.0005,0.02349261131232308,1.0,3.804973315740677,0.15936459677083312,1.3840473450973696,0.6789412377370879,0.4100305468946476,3.2758037645808047
0.001,0.02346511131232308,1.0,3.1063047955721834,0.16662000012929593,1.3833442150719928,0.7084773498475255,0.4121888510833509,2.5794651570495826
0.0015,0.02343761131232308,1.0,2.7445615110536705,0.1738127831395299,1.3821287412413643,0.734518950328286,0.4159105004691618,2.221737379009215
0.002,0.02341011131232308,1.0,2.5709606475733966,0.18094348627372725,1.380586384356127,0.7575639659476717,0.4206160161709215,2.0532098171240345
0.0025,0.02338261131232308,1.0,2.500456172735336,0.18801264533411285,1.3788504957557193,0.7780313460546812,0.42588920746258296,1.9883856459761402
0.003,0.023355111312323082,1.0,2.486265043556191,0.1950207915148435,1.3770048468890697,0.7962642792112936,0.4314693816885966,1.9801996201549423
0.0035,0.02332761131232308,1.0,2.502901549499327,0.2019684513485972,1.3750984841899725,0.8125469868712759,0.4372045086335399,2.0030015851870995
0.004,0.02330011131232308,1.0,2.5360222757452866,0.2088561469698006,1.373159982677288,0.8271199833810351,0.44300650931314445,2.0423529634268363
0.0045000000000000005,0.02327261131232308,1.0,2.577729612757916,0.2156843959002368,1.3712052555978242,0.8401892952283581,0.44882663286621594,2.0903035393770644
0.005,0.02324511131232308,1.0,2.6235816528086304,0.22245371113566648,1.3692432203453833,0.8519333083605231,0.45463777691588303,2.14238220749247
0.0055,0.02321761131232308,1.0,2.670978349976819,0.2291646013488018,1.3672790144861424,0.8625073943550069,0.46042450207235197,2.195972327691118
0.006,0.02319011131232308,1.0,2.7184894870345615,0.23581757108342652,1.365315393132999,0.8720470981849138,0.4661786541603292,2.2496349469110237
0.006500000000000001,0.02316261131232308,1.0,2.765390381475062,0.24241311900772405,1.3633536963363424,0.880670842978834,0.47189636543486835,2.3026412614634433
0.007,0.02313511131232308,1.0,2.8111806722786508,0.24895174306577417,1.3613948034793388,0.8884823723781269,0.4775751840725203,2.354488318061722
0.0075,0.02310761131232308,1.0,2.8557160942345634,0.25543393329808967,1.3594389118311527,0.8955724054731723,0.4832146746465472,2.40503141890624
0.008,0.02308011131232308,1.0,2.8989437511132463,0.26186017551362695,1.3574860480644546,0.9020204698991917,0.4888149017570338,2.4542177697592202
0.0085,0.02305261131232308,1.0,2.9408349070289765,0.2682309498025831,1.3555361968031119,0.907896352540416,0.4943760510511156,2.502018865631215
0.009000000000000001,0.02302511131232308,1.0,2.981441786015855,0.274546745707071,1.3535891998177436,0.9132613152460692,0.4998987110889911,2.54848758856546
0.0095,0.02299761131232308,1.0,3.020831085906924,0.2808080324731118,1.3516448796210456,0.9181692043672821,0.5053835145452013,2.5936913387230494
0.01,0.022970111312323082,1.0,3.0590734568784494,0.2870152762144256,1.3497030583779364,0.9226674275616593,0.5108310838444705,2.6377014550512947
0.0105,0.02294261131232308,1.0,3.0962430732004966,0.293168943044732,1.3477635582533336,0.9267977841503141,0.516242030203921,2.680592786024529
0.011,0.02291511131232308,1.0,3.1323991053565914,0.2992694768646316,1.3458262335827933,0.9305971781578803,0.5216168646637571,2.7224250678742345
