Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ],fisomrel [ ],fce [N]
0.0,0.02113975387787829,1.0,2.04060603987218,0.07492972991521135,1.3110870102317476,0.12425465495773337,0.6128994882602903,1.8063286755370287
0.0005,0.02113269505434888,1.0,1.745759546846394,0.08327831466943159,1.3114067649435681,0.16472193727637402,0.6121033069895252,1.510761820799227
0.001,0.021125636230819467,1.0,1.6812424343866141,0.09155155502075249,1.3110839965851802,0.20941433218631111,0.6129069882743665,1.4469718541068066
0.0015,0.021118577407290055,1.0,1.7629248254640018,0.09975013092748186,1.3103273172817662,0.2569634991427643,0.614787824594808,1.5303545063259427
0.002,0.021111518583760643,1.0,1.9329661551697077,0.10787471627155541,1.3093260560155902,0.3060218300596798,0.61726956427936,1.7026361553809735
0.0025,0.02110445976023123,1.0,2.1538585357279083,0.11592597872267668,1.3082101746927797,0.3553473634785786,0.6200259528633849,1.9260125418432557
0.003,0.021097400936701823,1.0,2.4041232989327814,0.12390458005629569,1.3070504961265068,0.4038616197276935,0.6228799713138641,2.1788445353436763
0.0035,0.02109034211317241,1.0,2.6713838870859563,0.13181117596987102,1.3058830934860297,0.4506972852115396,0.6257421324776673,2.44867476221375
0.004,0.021083283289643,1.0,2.9474501202670655,0.1396464164978148,1.304727643568007,0.4952172057647596,0.6285642529819586,2.7272698104124298
0.0045000000000000005,0.021076224466113586,1.0,3.226662601148195,0.14741094514709863,1.3035947545237139,0.5370017749656906,0.6313209001027437,3.008947710609514
0.005,0.021069165642584174,1.0,3.5045035450501594,0.1551054008881083,1.3024909397744466,0.5758203329282312,0.6339969254174884,3.289177450645053
0.0055,0.021062106819054762,1.0,3.7778120210902144,0.16273041495880097,1.3014191267562372,0.6115921103964035,0.6365860401020298,3.564792857024128
0.006,0.02105504799552535,1.0,4.043926079260005,0.1702866153148524,1.300381045415012,0.6443498631860712,0.639084910221538,3.8331293986268635
0.006500000000000001,0.021047989171995938,1.0,4.301025093357616,0.17777462246549766,1.2993768274156665,0.6742048810859114,0.6414940608261209,4.092367305669096
0.007,0.021040930348466526,1.0,4.547811313537081,0.18519505031884184,1.2984058418217255,0.701319448494644,0.6438158142666695,4.341211265457085
0.0075,0.021033871524937114,1.0,4.783308742766988,0.19254851166545253,1.2974671502694741,0.7258852037238512,0.6460531780422324,4.578688302090981
0.008,0.0210268127014077,1.0,5.0070152605696325,0.19983561050605697,1.2965592652174078,0.7481065680804154,0.6482104088548446,4.804300393598455
