Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ],fisomrel [ ],fce [N]
0.0,0.0222892072253398,1.0,1.66308931723327,0.05871721121921733,1.4357714772645889,0.10186886561459203,0.2404128784105516,0.9185289674275725
0.0005,0.02227978904236109,1.0,1.2957014696555178,0.0699762001456963,1.4363853179049304,0.16358356688671255,0.23827141726805134,0.5485038485393711
0.001,0.022270370859382382,1.0,1.3090957825143248,0.0811005166544089,1.435627585347137,0.23638090012014318,0.24091442753849157,0.5651529674993525
0.0015,0.022260952676403677,1.0,1.4468526769766348,0.09209177159760726,1.434408906795732,0.3150537520552205,0.24515560678614823,0.708129739101186
0.002,0.022251534493424967,1.0,1.6233393640913119,0.10295155654848949,1.433080661322147,0.3943871078797331,0.24976456315508744,0.8902846735988733
0.0025,0.022242116310446258,1.0,1.8136381392855248,0.11368144408151298,1.431740557543682,0.4701444646051752,0.25440036388748277,1.0862801777562496
0.003,0.02223269812746755,1.0,2.0080277017474453,0.12428298808229724,1.4304203078843598,0.5395693772465663,0.2589534342429316,1.2862603397941614
0.0035,0.02222327994448884,1.0,2.2007268441403394,0.13475772337366407,1.4291340828350685,0.6013208281175879,0.2633757557972183,1.484385262959697
0.004,0.022213861761510134,1.0,2.3876963211095585,0.14510716716970207,1.427888896586639,0.6551214644189111,0.26764436871147435,1.676587902142252
0.0045000000000000005,0.022204443578531425,1.0,2.5662411605547297,0.15533281747069835,1.4266873441546948,0.7013609053136214,0.27175164135285224,1.8601643346735237
0.005,0.022195025395552716,1.0,2.734646380098358,0.1654361564492878,1.425529459353314,0.7407743239917074,0.27569871688990477,2.0334013835129445
0.0055,0.022185607212574007,1.0,2.892094203103476,0.17541864336151658,1.4244133553289247,0.7742237074827089,0.2794932152737758,2.195490983194941
0.006,0.022176189029595297,1.0,3.0382715817743526,0.18528173066399029,1.42333644005141,0.8025690217116473,0.2831450340983961,2.3461325445707346
0.006500000000000001,0.02216677084661659,1.0,3.173382398677019,0.19502684082618876,1.4222954124145322,0.8266012903116001,0.2866663386145608,2.485545136595644
0.007,0.022157352663637882,1.0,3.2978482465156516,0.2046553763253746,1.4212869864900564,0.8470157501675089,0.2900691000565083,2.614165254964021
0.0075,0.022147934480659173,1.0,3.412417363106567,0.2141687495189539,1.4203075628434065,0.8644065354022556,0.29336621046654343,2.732757119988843
0.008,0.022138516297680464,1.0,3.5178732144646765,0.22356834556678798,1.4193538679052475,0.8792730773609636,0.29656933389163276,2.8421186391334428
