Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ],fisomrel [ ],fce [N]
0.0,0.01948796902607107,1.0,10.956712922271496,0.2410390833715294,1.2080000172003462,0.7857574265032895,0.8269439713786227,10.868899063055668
0.0005,0.019465198915844157,1.0,9.822802522857312,0.25011725921943817,1.207827217541563,0.804859771768016,0.8272313905957275,9.735243214459835
0.001,0.01944242880561724,1.0,8.932381905084648,0.25908685393176784,1.2073880087508053,0.8216629871714162,0.8279608553055036,8.84546793121941
0.0015,0.019419658695390328,1.0,8.237211163376463,0.26794915584323187,1.2067152032143011,0.8364756830328621,0.8290752990402808,8.151281121611397
0.002,0.019396888585163412,1.0,7.697511087957127,0.27670545142215747,1.2058413616737393,0.8495685363801935,0.8305173352972033,7.612850618010895
0.0025,0.0193741184749365,1.0,7.280215314461683,0.2853570136631809,1.204798556866495,0.861176583822082,0.8322302044216041,7.197057531165714
0.003,0.019351348364709583,1.0,6.959854801271387,0.293905090211759,1.2036142410684316,0.8715006109666964,0.8341649633365065,6.878387304081036
0.0035,0.01932857825448267,1.0,6.7155228550242585,0.3023509201404339,1.2023137630522516,0.8807126980104342,0.8362765651185496,6.635891441315501
0.004,0.019305808144255757,1.0,6.530814993342819,0.3106957275049224,1.2009187470894056,0.8889592931810811,0.8385266282720939,6.453129872590814
0.0045000000000000005,0.01928303803402884,1.0,6.393159378916389,0.31894071870827645,1.199446853351561,0.8963648055357796,0.8408838107526437,6.317501701927047
0.005,0.01926026792380193,1.0,6.292186648269478,0.32708709114238627,1.1979136220676934,0.903035615278082,0.8433207928001849,6.218612397488313
0.0055,0.019237497813575012,1.0,6.220393912247026,0.33513602030462003,1.1963306957961755,0.909062073868022,0.8458170315527584,6.148940097939232
0.006,0.0192147277033481,1.0,6.171355796703127,0.3430886736969147,1.194708495163276,0.9145219036483658,0.84835440764501,6.102042861816006
0.006500000000000001,0.019191957593121183,1.0,6.140134333937939,0.3509462043277046,1.1930552444270983,0.9194817286169259,0.8509186903967733,6.072969753734763
0.007,0.01916918748289427,1.0,6.123054673305605,0.358709746015743,1.1913771850967612,0.9239988033341078,0.8534990920977601,6.058036100493506
0.0075,0.019146417372667358,1.0,6.116863869437905,0.36638042690447553,1.1896799509463922,0.9281228189354092,0.856086064835897,6.053980383537084
0.008,0.01912364726244044,1.0,6.119153096211697,0.37395935837258265,1.1879677609118637,0.931896752410454,0.8586724834311217,6.058387395121964
0.0085,0.01910087715221353,1.0,6.128148347165731,0.3814476324829756,1.186243749670063,0.9353579275958511,0.8612530628353395,6.069478401110871
0.009000000000000001,0.019078107041986613,1.0,6.142204148806558,0.3888463362898266,1.1845108397009267,0.9385390479313822,0.8638230001314356,6.085603712728804
0.0095,0.0190553369317597,1.0,6.16005090646178,0.39615654617082735,1.1827712931430734,0.9414687172076666,0.8663786176112349,6.105490534309869
0.01,0.019032566821532784,1.0,6.1808384425960075,0.40337931352450473,1.18102663071312,0.9441719784801013,0.8689174358906226,6.12828652554783
