Time [s],Lmtc [m],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ]
0.0,0.019309415649724243,1.0,2.83271191883511,0.08421171191321693,1.2088023677627329
0.0005,0.019293831882373675,1.0,2.1901869017386075,0.09516575284279782,1.2094058386209998
0.001,0.01927824811502311,1.0,1.9746799990491537,0.10598876892792411,1.2088885519747712
0.0015,0.019262664347672542,1.0,1.9778042595312006,0.11668232739642473,1.2077098037447347
0.002,0.019247080580321978,1.0,2.1113840957649708,0.12724797676342675,1.2061331221877274
0.0025,0.01923149681297141,1.0,2.319907547230495,0.13768724694608622,1.2043527125108164
0.003,0.019215913045620845,1.0,2.573006363462963,0.14800164961350945,1.202477445344117
0.0035,0.019200329278270277,1.0,2.8528753978909625,0.15819267847839918,1.2005668277546655
0.004,0.01918474551091971,1.0,3.1479220975613296,0.16826180908528876,1.1986544093358338
0.0045000000000000005,0.019169161743569144,1.0,3.449858053439906,0.17821049924788762,1.1967598947782607
0.005,0.019153577976218576,1.0,3.7524292969447797,0.1880401906052108,1.1948950601012338
0.0055,0.01913799420886801,1.0,4.051137389383028,0.19775230486158873,1.1930661275670533
0.006,0.019122410441517444,1.0,4.342415375057837,0.20734825037011823,1.1912766560148993
0.006500000000000001,0.019106826674166875,1.0,4.623813374472058,0.21682941537204614,1.1895277016030008
0.007,0.01909124290681631,1.0,4.8935901321731,0.22619717070221065,1.1878190467292278
0.0075,0.019075659139465743,1.0,5.1505103955375615,0.23545288016787694,1.1861497716763783
0.008,0.019060075372115178,1.0,5.393996335962729,0.2445978765570945,1.1845180457179176
0.0085,0.01904449160476461,1.0,5.62374316293974,0.2536334801595572,1.1829219107615994
0.009000000000000001,0.019028907837414046,1.0,5.839768854427003,0.2625610138869669,1.1813591716391805
0.0095,0.019013324070063477,1.0,6.042323615988255,0.2713817685084647,1.1798275452269171
0.01,0.01899774030271291,1.0,6.231787899958869,0.28009700827185224,1.1783248128628963
0.0105,0.018982156535362345,1.0,6.408689234778965,0.2887079974249314,1.1768487558852045
0.011,0.018966572768011777,1.0,6.573430639557351,0.29721593473986835,1.1753975902202485
0.0115,0.018950989000661212,1.0,6.727161720052791,0.3056221677226932,1.1739684510799402
0.012,0.018935405233310644,1.0,6.8704110374616985,0.31392788493145635,1.1725597071859526
0.0125,0.01891982146596008,1.0,7.003694777327246,0.32213425503926046,1.1711698724277828
0.013000000000000001,0.01890423769860951,1.0,7.127593311592961,0.33024244671920827,1.1697974606949275
0.0135,0.018888653931258943,1.0,7.242744107043081,0.33825362864440234,1.1684409858768834
0.014,0.01887307016390838,1.0,7.349835213878098,0.34616896948794534,1.1670989618631475
0.0145,0.01885748639655781,1.0,7.4495993344309905,0.35398963792293997,1.1657699025432167
0.015,0.018841902629207246,1.0,7.542635689095154,0.361716770701093,1.1644525962842527
0.0155,0.018826318861856678,1.0,7.629444663453421,0.3693514907125392,1.1631460358122157
0.016,0.018810735094506113,1.0,7.710460712194992,0.37689488695133466,1.1618493555420037
0.0165,0.018795151327155545,1.0,7.786132207759207,0.3843480467793613,1.1605616990378604
0.017,0.018779567559804977,1.0,7.856896557976842,0.39171204572988266,1.1592822541923051
0.0175,0.018763983792454413,1.0,7.923190762980255,0.39898796293702976,1.1580102329363178
0.018000000000000002,0.018748400025103844,1.0,7.985434444518947,0.40617687922911283,1.1567448943999696
0.0185,0.01873281625775328,1.0,8.043896531077785,0.4132798089720774,1.155485746887484
0.019,0.018717232490402712,1.0,8.098853792562494,0.420297766531869,1.1542322987030837
0.0195,0.018701648723052144,1.0,8.150590072425247,0.4272317662744332,1.152984058150992
0.02,0.01868606495570158,1.0,8.199395583295853,0.4340828225657155,1.1517405335354325
0.0205,0.01867048118835101,1.0,8.245498773337035,0.44085190576933236,1.15050133570651
0.021,0.018654897421000446,1.0,8.289186263440907,0.4475400589490081,1.1492659940838879
0.021500000000000002,0.01863931365364988,1.0,8.330631598217792,0.45414823764178996,1.1480342158892365
0.022,0.018623729886299314,1.0,8.369980030176194,0.4606773732545568,1.146805755514344
0.0225,0.018608146118948746,1.0,8.407379256824077,0.46712839719418775,1.1455803673509986
0.023,0.018592562351598178,1.0,8.442979214537752,0.47350224086756176,1.1443578057909882
0.0235,0.018576978584247613,1.0,8.476931888275626,0.4797998356815577,1.1431378252261013
0.024,0.018561394816897045,1.0,8.50937454809999,0.48602208810962755,1.1419202048590182
0.0245,0.01854581104954648,1.0,8.540423141665109,0.4921699033360214,1.1407047581049055
0.025,0.018530227282195912,1.0,8.570216453567332,0.49824424037155624,1.1394912662884737
0.025500000000000002,0.018514643514845344,1.0,8.598823205033662,0.504245942988309,1.1382796169785392
0.026000000000000002,0.01849905974749478,1.0,8.626312899252607,0.510175854958357,1.1370696977439185
0.0265,0.01848347598014421,1.0,8.652755768619457,0.516034820053777,1.1358613961534278
0.027,0.018467892212793647,1.0,8.67822272530076,0.5218236820466462,1.1346545997758841
0.0275,0.01845230844544308,1.0,8.702785315120499,0.5275432847090417,1.1334491961801032
0.028,0.018436724678092514,1.0,8.726515674765222,0.5331944718130404,1.1322450729349018
