Time [s],Lmtc [m],STIM [ ],Fsee [ ],gamma [ ],Lcerel [ ]
0.0,0.043281287675248026,1.0,0.3352639206696067,1.1135928219788005,0.0009986350302119567
0.001,0.04327565952827251,1.0,0.29195169540555116,1.1145934218165052,0.037286225909405904
0.002,0.04327001241589965,1.0,0.29549773420305636,1.1140449636797929,0.0722557121915631
0.003,0.0432643653035268,1.0,0.39313657850308004,1.110541177058143,0.10595497118608592
0.004,0.04325871819115394,1.0,0.6449109571656615,1.103620682145758,0.13843014268558565
0.005,0.04325307107878108,1.0,0.975144322728868,1.0963914045358027,0.16972569397664086
0.006,0.043247423966408224,1.0,1.346723974947225,1.0895840161744688,0.19988447738763399
0.007,0.04324177685403537,1.0,1.743219925867997,1.0832621014081198,0.22894778237958707
0.008,0.043236129741662514,1.0,2.151468622012603,1.07743244333435,0.25695539428696906
0.009000000000000001,0.043230482629289656,1.0,2.5613993866565195,1.0720759065447785,0.2839456677661898
0.01,0.0432248355169168,1.0,2.965903289349847,1.067158447241704,0.3099555492003779
0.011,0.04321918840454394,1.0,3.3602659904352272,1.0626399930327555,0.33502065109410123
0.012,0.04321354129217109,1.0,3.741550852867797,1.058479883395328,0.3591752976949797
0.013000000000000001,0.04320789417979823,1.0,4.108064452801815,1.0546398347362647,0.3824525540973532
0.014,0.04320224706742537,1.0,4.458967559086743,1.051085094356496,0.4048842885923068
0.015,0.04319659995505251,1.0,4.7939490893568735,1.0477851298317253,0.4265012181231439
0.016,0.04319095284267965,1.0,5.113057318785232,1.0447132177006182,0.44733294152004066
0.017,0.0431853057303068,1.0,5.416605536810508,1.0418457960202165,0.4674079784930845
0.018000000000000002,0.04317965861793394,1.0,5.70507434839414,1.0391621613411166,0.4867538139943149
0.019,0.043174011505561084,1.0,5.979043118420052,1.036644149998791,0.5053969351659356
0.02,0.043168364393188226,1.0,6.23914399483239,1.0342758195374475,0.5233628672227684
0.021,0.04316271728081537,1.0,6.486031097611473,1.0320431551308766,0.540676206815303
0.022,0.043157070168442516,1.0,6.720360665811776,1.0299338045924942,0.5573606577147179
0.023,0.04315142305606966,1.0,6.942777903226529,1.0279368503577329,0.5734390635845799
0.024,0.0431457759436968,1.0,7.153908578876891,1.0260426138642549,0.5889334383694927
0.025,0.04314012883132394,1.0,7.354354019097713,1.0242424877140748,0.6038649963808098
0.026000000000000002,0.04313448171895108,1.0,7.544688335264642,1.0225287926687021,0.6182541813424656
0.027,0.04312883460657823,1.0,7.725457157878192,1.0208946559386332,0.6321206943817487
0.028,0.04312318749420537,1.0,7.8971773787060995,1.01933390753651,0.6454835210033396
0.029,0.04311754038183251,1.0,8.06033755697081,1.017840991878539,0.6583609570835446
0.03,0.043111893269459654,1.0,8.215398751885596,1.0164108922286106,0.6707706339203172
0.031,0.043106246157086796,1.0,8.362795617442142,1.0150390659536772,0.6827295423733639
0.032,0.043100599044713944,1.0,8.502937646498772,1.0137213888865007,0.6942540561273858
0.033,0.043094951932341086,1.0,8.63621048688458,1.0124541073718627,0.7053599541103075
0.034,0.04308930481996823,1.0,8.76297727716547,1.0112337968081917,0.7160624420971887
0.035,0.04308365770759537,1.0,8.8835799671648,1.0100573256935164,0.726376173529395
0.036000000000000004,0.04307801059522251,1.0,8.998340600547131,1.008921824348301,0.7363152695775352
0.037,0.04307236348284966,1.0,9.107562545306935,1.0078246576232963,0.7458933384756339
