Time [s],Lmtc [m],STIM [ ],Fsee [ ],gamma [ ],Lcerel [ ]
0.0,0.03958119772994107,1.0,0.3199629596886019,1.140851737378273,0.005243420161921681
0.001,0.03953643789235416,1.0,0.1796877743453796,1.143649877209841,0.041376824113954394
0.002,0.039490418580414084,1.0,0.12745357610677274,1.142747098078558,0.07619772341686754
0.003,0.03944439926847401,1.0,0.15883701774941503,1.1366473074024805,0.10975379290062282
0.004,0.03939837995653394,1.0,0.29452363892748334,1.125628853516378,0.14209097625862044
0.005,0.03935236064459386,1.0,0.48076908423887144,1.1142979791981276,0.17325355236876733
0.006,0.03930634133265379,1.0,0.6938480043277884,1.1034979207893447,0.20328419048417148
0.007,0.039260322020713716,1.0,0.9216900945962129,1.0932983775938163,0.23222400214196207
0.008,0.039214302708773636,1.0,1.1549392641719438,1.0836949747517193,0.26011261332903873
0.009000000000000001,0.039168283396833564,1.0,1.386598310740346,1.0746560082189294,0.28698820112728046
0.01,0.03912226408489349,1.0,1.611800357707413,1.0661361439401689,0.31288756594727557
0.011,0.03907624477295341,1.0,1.82739611738869,1.0580851770201327,0.3378461696668511
0.012,0.03903022546101334,1.0,2.0315095537260124,1.0504534627538966,0.361898177325399
0.013000000000000001,0.03898420614907327,1.0,2.2231803089858806,1.0431944226685688,0.38507652533177417
0.014,0.03893818683713319,1.0,2.4020724598311713,1.036265828635405,0.4074129512811734
0.015,0.038892167525193116,1.0,2.5682636494785966,1.0296301195485484,0.4289380333439666
0.016,0.038846148213253044,1.0,2.722100772950736,1.0232541741306607,0.4496812415043554
0.017,0.038800128901312965,1.0,2.8640962281030546,1.017108951262436,0.4696709765381586
0.018000000000000002,0.03875410958937289,1.0,2.994856763658397,1.011169051969826,0.48893460808314276
0.019,0.03870809027743282,1.0,3.1150353537844757,1.0054122744802425,0.5074985116789282
0.02,0.03866207096549274,1.0,3.2252991016009536,0.9998191974274937,0.5253881046962131
0.021,0.03861605165355267,1.0,3.3263005208033687,0.9943729067997009,0.54262787973284
0.022,0.038570032341612596,1.0,3.4186481336705423,0.9890588683956801,0.55924143817807
0.023,0.038524013029672524,1.0,3.5029243566802872,0.9838642934316517,0.575251526687153
0.024,0.038477993717732445,1.0,3.5796853445424417,0.9787778458185543,0.5906800656671488
0.025,0.03843197440579237,1.0,3.64945717300194,0.9737894621429433,0.6055481792895191
0.026000000000000002,0.0383859550938523,1.0,3.7127339887652675,0.968890194291528,0.619876224412543
0.027,0.03833993578191222,1.0,3.7699774998265063,0.964072072518974,0.6336838184531567
0.028,0.03829391646997215,1.0,3.821617364730108,0.9593279865862258,0.6469898662463784
0.029,0.038247897158032076,1.0,3.868052170099162,0.954651582667091,0.6598125859290923
0.03,0.038201877846092,1.0,3.909650778228445,0.9500371739064465,0.6721695338836318
0.031,0.038155858534151925,1.0,3.9467538920300638,0.9454796627434197,0.6840776287753142
0.032,0.03810983922221185,1.0,3.979675731078404,0.9409744733493842,0.6955531747168359
0.033,0.03806381991027177,1.0,4.008705745505318,0.9365174927543928,0.7066118835912467
0.034,0.0380178005983317,1.0,4.0341103179549735,0.9321050194381625,0.7172688965640656
0.035,0.03797178128639163,1.0,4.056134420479755,0.9277337183401204,0.7275388048139904
0.036000000000000004,0.03792576197445155,1.0,4.07500320509276,0.923400581397564,0.7374356695105878
0.037,0.03787974266251148,1.0,4.090923515062376,0.9191028928534613,0.7469730410663147
0.038,0.037833723350571405,1.0,4.104085309925841,0.9148381986881868,0.7561639776892295
0.039,0.037787704038631326,1.0,4.114663001313609,0.9106042796250818,0.765021063261796
0.04,0.03774168472669125,1.0,4.122816699509898,0.9063991272405643,0.7735564245702593
0.041,0.03769566541475118,1.0,4.128693372593448,0.9022209227778025,0.7817817479081824
0.042,0.0376496461028111,1.0,4.132427921265323,0.8980680183206299,0.7897082950768768
0.043000000000000003,0.03760362679087103,1.0,4.134144173258946,0.893938920033112,0.797346918804634
0.044,0.03755760747893096,1.0,4.133955801685956,0.8898322732113922,0.8047080776058713
0.045,0.03751158816699088,1.0,4.131967171891582,0.8857468489293604,0.8118018501005327
0.046,0.037465568855050806,1.0,4.128274121448078,0.8816815320893198,0.8186379488133546
0.047,0.03741954954311073,1.0,4.1229646778562925,0.8776353107140188,0.8252257334718863
0.048,0.037373530231170654,1.0,4.11611971839256,0.8736072663378833,0.8315742238214751
0.049,0.03732751091923058,1.0,4.107813576352818,0.8695965653736216,0.8376921119747597
0.05,0.03728149160729051,1.0,4.098114597732443,0.8656024513460704,0.8435877743125824
0.051000000000000004,0.03723547229535043,1.0,4.087085652151974,0.8616242378986275,0.8492692829526117
0.052000000000000005,0.03718945298341036,1.0,4.0747846016011415,0.8576613024892057,0.8547444168013814
0.053,0.037143433671470286,1.0,4.061264730337813,0.853713080702649,0.8600206722048733
0.054,0.037097414359530206,1.0,4.046575139049941,0.8497790611151977,0.8651052732122324
0.055,0.037051395047590134,1.0,4.030761106163892,0.8458587806540961,0.8700051814666595
0.056,0.03700537573565006,1.0,4.013864418970914,0.8419518204019539,0.8747271057370309
0.057,0.03695935642370998,1.0,3.9959236770435025,0.8380578018011593,0.8792775111032899
0.058,0.03691333711176991,1.0,3.9769745702238333,0.834176383218609,0.88366262780819
0.059000000000000004,0.03686731779982984,1.0,3.9570501332878636,0.8303072568353733,0.8878884597875074
0.06,0.03682129848788976,1.0,3.9361809792265925,0.8264501458297334,0.8919607928904019
0.061,0.036775279175949686,1.0,3.914395512930065,0.8226048018253946,0.8958852028011834
0.062,0.036729259864009614,1.0,3.8917201269170945,0.8187710025796467,0.8996670626733274
0.063,0.036683240552069535,1.0,3.868179380623806,0.8149485498888673,0.9033115504861933
0.064,0.03663722124012946,1.0,3.8437961646401995,0.8111372676910895,0.9068236561345174
0.065,0.03659120192818939,1.0,3.818591851171557,0.8073370003474232,0.9102081882603887
0.066,0.03654518261624931,1.0,3.7925864318990046,0.8035476110859568,0.9134697808370585
0.067,0.03649916330430924,1.0,3.7657986443168583,0.799768980593407,0.9166128995136023
0.068,0.036453143992369166,1.0,3.7382460875358703,0.796001005741246,0.9196418477291162
0.069,0.03640712468042909,1.0,3.7099453284624033,0.7922435984343538,0.9225607726048239
0.07,0.036361105368489015,1.0,3.6809119991877326,0.7884966845714108,0.9253736706221576
0.07100000000000001,0.03631508605654894,1.0,3.6511608863530354,0.7847602031073109,0.928084393094589
0.07200000000000001,0.03626906674460886,1.0,3.6207060131949933,0.7810341052088172,0.9306966514407018
0.073,0.03622304743266879,1.0,3.5895607149174897,0.7773183534955489,0.933214022265726
0.074,0.03617702812072872,1.0,3.5577377079822328,0.7736129213591535,0.9356399522584901
0.075,0.036131008808788646,1.0,3.525249153865114,0.7699177923542236,0.9379777629104966
0.076,0.03608498949684857,1.0,3.4921067177777165,0.7662329596551507,0.9402306550635829
0.077,0.036038970184908495,1.0,3.4583216226898497,0.762558425575303,0.9424017132906253
0.078,0.03599295087296842,0.0,3.42360888457635,0.7588980325240622,0.9094910427861886
0.079,0.03594693156102834,0.0,3.387642648430395,0.7552562389512362,0.8764551060315486
0.08,0.03590091224908827,0.0,3.3504363074673895,0.7516331665571466,0.8446191646878006
0.081,0.0358548929371482,0.0,3.311997607116444,0.748029026128808,0.8139396302362444
0.082,0.03580887362520812,0.0,3.2723281017430033,0.7444441276918635,0.7843744974198066
0.083,0.03576285431326805,0.0,3.231423381704758,0.7408788810787348,0.7558832867779429
0.084,0.035716835001327975,0.0,3.189273286905484,0.7373337970510079,0.7284269892236926
0.085,0.035670815689387896,0.0,3.1458621172665007,0.7338094888815938,0.7019680126339137
0.08600000000000001,0.03562479637744782,0.0,3.101168852603377,0.730306674276913,0.6764701303795712
0.08700000000000001,0.03557877706550775,0.0,3.055167395859843,0.7268261775002913,0.6518984317256077
